month,tech,current_holder,rego_mwh,station_count
2023-04-01,biomass,Watts Up Trading Limited,39.53666666666667,41
2023-05-01,biomass,Watts Up Trading Limited,28.235666666666667,50
2023-06-01,biomass,Watts Up Trading Limited,22.869666666666667,37
2023-07-01,biomass,Watts Up Trading Limited,18.412333333333333,30
2023-08-01,biomass,Watts Up Trading Limited,22.136333333333333,35
2023-09-01,biomass,Watts Up Trading Limited,19.305333333333333,33
2023-10-01,biomass,Watts Up Trading Limited,12.976833333333333,26
2023-11-01,biomass,Watts Up Trading Limited,65.94333333333334,28
2023-12-01,biomass,Watts Up Trading Limited,35.32783333333333,37
2024-01-01,biomass,Watts Up Trading Limited,34.159666666666666,41
2024-02-01,biomass,Watts Up Trading Limited,11.050166666666666,44
2024-03-01,biomass,Watts Up Trading Limited,30.810166666666667,37
2023-04-01,other,Watts Up Trading Limited,14.068,29
2023-05-01,other,Watts Up Trading Limited,6.338,26
2023-06-01,other,Watts Up Trading Limited,4.65,23
2023-07-01,other,Watts Up Trading Limited,2.667,21
2023-08-01,other,Watts Up Trading Limited,3.5540000000000003,21
2023-09-01,other,Watts Up Trading Limited,6.415,24
2023-10-01,other,Watts Up Trading Limited,8.088,22
2023-11-01,other,Watts Up Trading Limited,8.919,21
2023-12-01,other,Watts Up Trading Limited,2.383,8
2024-01-01,other,Watts Up Trading Limited,0.995,15
2024-02-01,other,Watts Up Trading Limited,2.878,18
2024-03-01,other,Watts Up Trading Limited,4.8,19
2023-04-01,wind,Watts Up Trading Limited,25.537,10
2023-05-01,wind,Watts Up Trading Limited,16.556,11
2023-06-01,wind,Watts Up Trading Limited,15.125,10
2023-07-01,wind,Watts Up Trading Limited,24.108,10
2023-08-01,wind,Watts Up Trading Limited,25.414,9
2023-09-01,wind,Watts Up Trading Limited,24.724,9
2023-10-01,wind,Watts Up Trading Limited,50.614,13
2023-11-01,wind,Watts Up Trading Limited,51.759,12
2023-12-01,wind,Watts Up Trading Limited,79.16499999999999,16
2024-01-01,wind,Watts Up Trading Limited,48.685,25
2024-02-01,wind,Watts Up Trading Limited,48.435,25
2024-03-01,wind,Watts Up Trading Limited,51.361000000000004,18
